idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,SM106A,SM106A,simple,0.70,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,skipped: openai: judge call failed (Request timed out.) | anthropic: judge call failed (Error code: 401 - {'type': 'erro
2,IC217A,IC217A,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
3,IX302M,IX302M,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
4,IC211A,IC211A,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
5,SG303M,SG303M,simple,1.90,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
6,SG401M,SG401M,simple,1.90,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
7,IC212A,IC212A,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
8,SG302M,SG302M,simple,1.90,True,rule-based,False,PASS,All 6 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
9,RL302M,RL302M,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
10,SQ302M,SQ302M,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
11,IC214A,IC214A,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
12,IC104A,IC104A,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
13,SM301M,SM301M,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
14,DB301M,DB301M,simple,2.15,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
15,CM303M,CM303M,simple,2.15,True,rule-based,False,PASS,All 6 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
16,IF401M,IF401M,simple,2.15,True,rule-based,False,PASS,All 6 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
17,IC102A,IC102A,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
18,IC206A,IC206A,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
19,DB304M,DB304M,simple,2.15,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
20,IF403M,IF403M,simple,2.15,True,rule-based,False,PASS,All 6 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
21,IF402M,IF402M,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
22,DB305M,DB305M,simple,2.15,True,rule-based,False,FAIL,1 check(s) failed: execution_match.,True,1.0,1.0,False,,"skipped: openai: judge call failed (Error code: 429 - {'error': {'message': 'You exceeded your current quota, please che"
